fab_sku,material,color,width_cm,cost_amount,gst_rate_pct,created_at,updated_at,design,work,weight_per_meter
FAB1001,Rayon,Beige,58.00,68.00,0.05,2025-09-05 06:10:45.981484+00,2025-09-05 06:52:04.017049+00,Solid,None,
FAB1002,Rayon,Black,58.00,68.00,0.05,2025-09-05 06:10:45.981484+00,2025-09-05 06:52:15.628003+00,Solid,None,
FAB1003,Rayon,Green,58.00,68.00,0.05,2025-09-05 06:10:45.981484+00,2025-09-05 06:52:22.860813+00,Solid,None,
FAB1004,Rayon,Greyish Blue,58.00,68.00,0.05,2025-09-05 06:10:45.981484+00,2025-09-05 06:52:26.325406+00,Solid,None,
FAB1005,Rayon,Plum,58.00,68.00,0.05,2025-09-05 06:10:45.981484+00,2025-09-05 06:52:32.499852+00,Solid,None,
FAB1006,Rayon,Red,58.00,68.00,0.05,2025-09-05 06:10:45.981484+00,2025-09-05 06:52:35.150779+00,Solid,None,
FAB1007,Rayon,White,58.00,68.00,0.05,2025-09-05 06:10:45.981484+00,2025-09-05 06:52:41.576756+00,Solid,None,
FAB1008,Canvas,Beige,58.00,120.00,0.05,2025-09-05 06:10:45.981484+00,2025-09-05 06:52:45.301998+00,Solid,None,
FAB1009,Canvas,Brown,58.00,120.00,0.05,2025-09-05 06:10:45.981484+00,2025-09-05 06:52:47.898679+00,Solid,None,
FAB1010,Canvas,Ice Grey,58.00,120.00,0.05,2025-09-05 06:10:45.981484+00,2025-09-05 06:52:50.779666+00,Solid,None,
FAB1011,Canvas,Maroon,58.00,120.00,0.05,2025-09-05 06:10:45.981484+00,2025-09-05 06:52:52.920364+00,Solid,None,
FAB1012,Canvas,Midnight Blue,58.00,120.00,0.05,2025-09-05 06:10:45.981484+00,2025-09-05 06:52:55.993163+00,Solid,None,
FAB1013,Canvas,Olive Green,58.00,120.00,0.05,2025-09-05 06:10:45.981484+00,2025-09-05 06:52:59.535446+00,Solid,None,
FAB1014,Canvas,Purple,58.00,120.00,0.05,2025-09-05 06:10:45.981484+00,2025-09-05 06:53:03.897905+00,Solid,None,
FAB1015,Canvas,White,58.00,120.00,0.05,2025-09-05 06:10:45.981484+00,2025-09-05 06:53:10.989661+00,Solid,None,
FAB1016,Dupian,Beige,42.00,48.00,0.05,2025-09-05 06:10:45.981484+00,2025-09-05 06:53:13.864773+00,Solid,None,
FAB1017,Dupian,Black,42.00,48.00,0.05,2025-09-05 06:10:45.981484+00,2025-09-05 06:53:16.773659+00,Solid,None,
FAB1018,Dupian,Cream,42.00,48.00,0.05,2025-09-05 06:10:45.981484+00,2025-09-05 06:53:19.666488+00,Solid,None,
FAB1019,Dupian,Gold,42.00,48.00,0.05,2025-09-05 06:10:45.981484+00,2025-09-05 06:53:22.387758+00,Solid,None,
FAB1020,Dupian,Maroon,42.00,48.00,0.05,2025-09-05 06:10:45.981484+00,2025-09-05 06:53:29.233197+00,Solid,None,
FAB1021,Dupian,Pear Green,42.00,48.00,0.05,2025-09-05 06:10:45.981484+00,2025-09-05 06:53:32.051291+00,Solid,None,
FAB1022,Roman Silk,Ivory Pink,42.00,60.00,0.05,2025-09-05 06:10:45.981484+00,2025-09-05 06:53:34.8293+00,Solid,None,
FAB1023,Roman Silk,Mint,42.00,60.00,0.05,2025-09-05 06:10:45.981484+00,2025-09-05 06:53:37.464088+00,Solid,None,
FAB1024,Velvet,Black,42.00,130.00,0.05,2025-09-05 06:10:45.981484+00,2025-09-05 06:53:40.803377+00,Solid,None,
FAB1025,Velvet,Deep Teal,42.00,130.00,0.05,2025-09-05 06:10:45.981484+00,2025-09-05 06:53:43.435797+00,Solid,None,
FAB1026,Velvet,Red,42.00,130.00,0.05,2025-09-05 06:10:45.981484+00,2025-09-05 06:53:46.070583+00,Solid,None,
FAB1027,Foil,Silver,58.00,65.00,0.05,2025-09-05 06:10:45.981484+00,2025-09-05 06:53:50.580835+00,Solid,None,
FAB1028,Lurex,White,42.00,66.00,0.05,2025-09-05 06:10:45.981484+00,2025-09-05 06:53:54.440899+00,Thick Gold Stripe,None,
FAB1029,Lurex,Pink,42.00,66.00,0.05,2025-09-05 06:10:45.981484+00,2025-09-05 06:53:57.670063+00,Thick Gold Stripe,None,
FAB1030,Lurex,Black,42.00,66.00,0.05,2025-09-05 06:10:45.981484+00,2025-09-05 06:54:01.044957+00,Thick Gold Stripe,None,
FAB1031,Lurex,Yellow,42.00,66.00,0.05,2025-09-05 06:10:45.981484+00,2025-09-05 06:54:03.974236+00,Thick Gold Stripe,None,
