id,entity,child_sku_id,style_id,style_name,title,gender,size,category,material,color,cost_amount,currency_code,selling_price,mrp_price,gst_rate_pct,amazon_title,myntra_title,myntra_product_code,amazon_sku,myntra_sku,shopify_sku,nykaa_sku,flipkart_sku,unicommerce_sku,created_at,updated_at
001cb1a9-cf34-4cbb-8bba-5be7149200d3,Fulton,IN100095,BL1008,Horizon Halo,Gulabi Horizon Halo - 36,F,36,Blouse,Rayon,Gulabi,190.00,_,899.00,1099.00,0.05,,,,,,,,,,2025-08-30 07:50:45.262819+00,2025-08-30 07:50:45.262819+00
003e8259-8e9f-474d-ae27-8040d6ffd6d3,Fulton,IN100236,BL1001,Divine Depth,Silver Foil Divine Depth,F,44,Blouse,Foil,Silver Foil,190.00,_,,,0.05,,,,,,,,,,2025-08-30 07:50:45.262819+00,2025-08-30 07:50:45.262819+00
01431421-68ee-4a05-831e-8254e57c9923,Fulton,IN100224,BL1001,Divine Depth,Silk Maroon Divine Depth,F,40,Blouse,Dupion Silk,Silk Maroon,220.00,_,,,0.05,,,,,,,,,,2025-08-30 07:50:45.262819+00,2025-08-30 07:50:45.262819+00
016a3f89-9809-41f3-a836-a6e3fdbb5e1c,Fulton,IN100180,BL1001,Divine Depth,Black Divine Depth - 32,F,32,Blouse,Rayon,Black,190.00,_,799.00,1099.00,0.05,,,,,,,,,,2025-08-30 07:50:45.262819+00,2025-08-30 07:50:45.262819+00
02438a7c-5092-47b3-9eee-97fdb100729b,Fulton,IN100206,BL1002,Graceful Pleat,White Graceful Pleat - 42,F,42,Blouse,Rayon,White,190.00,_,899.00,1099.00,0.05,,,,,,,,,,2025-08-30 07:50:45.262819+00,2025-08-30 07:50:45.262819+00
0247cd0e-4d76-437d-bc0e-154fb4666983,Fulton,IN100029,BL1001,Divine Depth,Red Divine Depth - 44,F,44,Blouse,Rayon,Red,190.00,_,899.00,1099.00,0.05,,,,,,,,,,2025-08-30 07:50:45.262819+00,2025-08-30 07:50:45.262819+00
02964a2c-233d-4759-b4b0-0239fa0ca6d2,Fulton,IN100220,BL1001,Divine Depth,Gold Foil Divine Depth,F,34,Blouse,Foil,Gold Foil,190.00,_,,,0.05,,,,,,,,,,2025-08-30 07:50:45.262819+00,2025-08-30 07:50:45.262819+00
02b76d93-37a6-472c-ac94-5b93452692da,Fulton,IN100046,BL1001,Divine Depth,Green Divine Depth - 42,F,42,Blouse,Rayon,Green,190.00,_,899.00,1099.00,0.05,,,,,,,,,,2025-08-30 07:50:45.262819+00,2025-08-30 07:50:45.262819+00
03d2bb54-3525-4632-8ee9-553a5a9c9a17,Fulton,IN100197,BL1001,Divine Depth,Silk Cream Divine Depth,F,42,Blouse,Dupion Silk,Silk Cream,220.00,_,,,0.05,,,,,,,,,,2025-08-30 07:50:45.262819+00,2025-08-30 07:50:45.262819+00
05bd206b-89b9-4d29-b60c-3fee51a9da24,Fulton,IN100238,BL1001,Divine Depth,Silk Pear Green Divine Depth,F,44,Blouse,Dupion Silk,Silk Pear Green,220.00,_,,,0.05,,,,,,,,,,2025-08-30 07:50:45.262819+00,2025-08-30 07:50:45.262819+00
