id,entity,pack_sku_id,description,channel,cost_per_unit,created_at,updated_at,pkg_sku_id,pkg_type,measurement_unit,units_per_quantity,cost_per_sku
12b75185-6d51-4bb5-9553-a85d98e4cb1f,TestEntity,PACK001,Carton Box 10x10,Amazon,12.5000,2025-08-30 06:04:02.567671+00,2025-08-30 06:04:02.567671+00,,,,,
1aca690b-e47d-454d-be0e-33db838de3e2,,PACK1009,,,,2025-09-09 05:10:15.447734+00,2025-09-09 05:10:15.447734+00,PACK1009,Thevasa Packaging Bags,Bag,1,9.58
2df7a15c-3344-4e11-ab64-c0c4e94d248d,,PACK1006,,,,2025-09-09 05:10:15.447734+00,2025-09-09 05:10:15.447734+00,PACK1006,Nykaa 30X26X7 Bags,Bag,1,7.00
3d0d143f-caa9-4e07-9a14-6f848a87fd73,,PACK1011,,,,2025-09-09 05:10:15.447734+00,2025-09-09 05:10:15.447734+00,PACK1011,Barcode Roll,Sticker,2000,300.00
3f534a01-0468-4cda-bc50-a116781e1143,,PACK1010,,,,2025-09-09 05:10:15.447734+00,2025-09-09 05:10:15.447734+00,PACK1010,Label Roll,Sticker,400,230.00
4dacaa65-2a57-4acd-9d31-89074767f392,,PACK1012,,,,2025-09-09 05:10:15.447734+00,2025-09-09 05:10:15.447734+00,PACK1012,Main Label,Piece,1,0.75
4e57e628-547c-48ee-a6ba-f1d6d7ef5073,,PACK1004,,,,2025-09-09 05:10:15.447734+00,2025-09-09 05:10:15.447734+00,PACK1004,Myntra 10X13 Packaging Bags,Bags,1000,2962.00
56ede8bf-1a35-469b-8b01-07384b85bfde,,PACK1016,,,,2025-09-09 05:10:15.447734+00,2025-09-09 05:10:15.447734+00,PACK1016,Tag Thread,Kg,1,290.00
5e2f295e-fadc-4744-a281-00960fc76e23,,PACK1015,,,,2025-09-09 05:10:15.447734+00,2025-09-09 05:10:15.447734+00,PACK1015,Tag,Piece,1,1.60
794b41b7-171f-43f1-8f3f-008dc8f3cc78,,PACK1005,,,,2025-09-09 05:10:15.447734+00,2025-09-09 05:10:15.447734+00,PACK1005,Myntra 14X16 Packaging Bags,Bags,1000,4082.00
7ffed9a4-6ab8-4037-a93e-0bbb01eabaab,,PACK1008,,,,2025-09-09 05:10:15.447734+00,2025-09-09 05:10:15.447734+00,PACK1008,Flipkart Packaging Bags,Bag,1000,4082.00
88ad4219-02e2-4e16-95dc-76f0ff952b61,,PACK1013,,,,2025-09-09 05:10:15.447734+00,2025-09-09 05:10:15.447734+00,PACK1013,Size Label,Piece,1,0.25
9b74ead9-fbd6-45b6-a097-6956e716cd71,,PACK1002,,,,2025-09-09 05:10:15.447734+00,2025-09-09 05:10:15.447734+00,PACK1002,Amazon 10X12 Packaging Bags,Bags,1000,3420.00
d2189d84-efc2-4a9c-96ee-1c7b6a9a276d,,PACK1014,,,,2025-09-09 05:10:15.447734+00,2025-09-09 05:10:15.447734+00,PACK1014,Wash care Label,Piece,1,0.50
e87c9466-a2b3-496c-b173-5a82a7cec62f,,PACK1007,,,,2025-09-09 05:10:15.447734+00,2025-09-09 05:10:15.447734+00,PACK1007,Nykaa 42X35X5 Bags,Bag,1,9.00
ef73e171-2e1a-4c0b-b3e2-5af4b036453b,,PACK1001,,,,2025-09-09 05:10:15.447734+00,2025-09-09 05:10:15.447734+00,PACK1001,Transparent Packaging Bags,Kg,1,186.00
fa290d84-98af-4171-8dbe-609dd863206d,,PACK1003,,,,2025-09-09 05:10:15.447734+00,2025-09-09 05:10:15.447734+00,PACK1003,Amazon 14X16 Packaging Bags,Bags,1000,5865.00
